$x$,$y$,L,Parameters,R,Simulation,V,h,t
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.44
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.45
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.46
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.47
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.48
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.49
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.5
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.51
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.5200000000000005
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.53
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.54
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.55
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.5600000000000005
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.57
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.58
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.59
