# sxe,sye,delta,ve,psi_e,psi_e_dot,beta,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
-7.048162053990836284e-09,-2.746630707406438887e-05,-2.638104888319503516e-05,0.000000000000000000e+00,-5.870443783351220191e-05,-4.216567426919937134e-02,-3.030149382539093494e-04,3.449695833045327009e-02,1.000413980956350368e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.242404980233499656e-01,1.935569626411320354e-01
-8.990528321817237156e-09,-3.108350210823118687e-05,-2.752783802861813456e-05,0.000000000000000000e+00,-6.637315527768805623e-05,-4.427672177553176880e-02,-3.248268913011997938e-04,3.599654409953143008e-02,1.000449977500449839e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.296397341050533336e-01,2.019741028760356216e-01
-1.110971226125911926e-08,-3.499550075503066182e-05,-2.867459625122137368e-05,0.000000000000000000e+00,-7.465333328582346439e-05,-4.640690237283706665e-02,-3.470578812994062901e-04,3.749609387206849498e-02,1.000487473594321886e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.350386545730808407e-01,2.103914455552850504e-01
-1.342805777682087864e-08,-3.921261304640211165e-05,-2.982132536999415606e-05,0.000000000000000000e+00,-8.356414036825299263e-05,-4.855579882860183716e-02,-3.696797066368162632e-04,3.899560614851481366e-02,1.000526469200470503e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.404372467976235384e-01,2.188089987623106636e-01
-1.596965049088794331e-08,-4.374505078885704279e-05,-3.096802538493648171e-05,0.000000000000000000e+00,-9.312433394370600581e-05,-5.072300881147384644e-02,-3.926651843357831240e-04,4.049507942935822585e-02,1.000566964279899773e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.458354981482541668e-01,2.272267705788553749e-01
-1.876037636350247340e-08,-4.860294575337320566e-05,-3.211469447705894709e-05,0.000000000000000000e+00,-1.033522639772854745e-04,-5.290812999010086060e-02,-4.159880918450653553e-04,4.199451221512558174e-02,1.000608958792114977e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.512333959939035077e-01,2.356447690849097776e-01
-2.182798297667432053e-08,-5.379634967539459467e-05,-3.326133082737214863e-05,0.000000000000000000e+00,-1.142658802564255893e-04,-5.511077493429183960e-02,-4.396231670398265123e-04,4.349390300638423384e-02,1.000652452695121264e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.566309277028367641e-01,2.440630023586471964e-01
-2.520213016055095068e-08,-5.933523789281025529e-05,-3.440793443587608635e-05,0.000000000000000000e+00,-1.258827542187646031e-04,-5.733055621385574341e-02,-4.635461082216352224e-04,4.499325030374348722e-02,1.000697445945424979e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.620280806426299958e-01,2.524814784763588227e-01
-2.986812575045405538e-08,-6.522952753584831953e-05,-3.555450530257076025e-05,0.000000000000000000e+00,-1.382200571242719889e-04,-5.956710875034332275e-02,-4.877334868069738150e-04,4.649255260785620236e-02,1.000743938498032781e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.674248421801464715e-01,2.609002055123888497e-01
-3.490595901212145691e-08,-7.148906297516077757e-05,-3.670103978947736323e-05,0.000000000000000000e+00,-1.512946037109941244e-04,-6.182006001472473145e-02,-5.121627473272383213e-04,4.799180841942017606e-02,1.000791930306452304e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.728211996815131046e-01,2.693191915390695246e-01
