# sxe,sye,delta,ve,psi_e,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
-1.295759375352645293e-07,-1.598871749592944980e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.229831948876380920e-03,5.998400127995123787e-02,1.001229831909187018e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.159759980646550892e-01,3.366813713804760466e-01
-1.470356352228918695e-07,-1.721854787319898605e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.291314722038805485e-03,6.148277119814456182e-02,1.001291314680385236e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.213681505832457430e-01,3.451030512138736905e-01
-1.664631952280615224e-07,-1.850986154749989510e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.354296226054430008e-03,6.298147963357178525e-02,1.001354296160018809e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.267597726812854153e-01,3.535250706363121109e-01
-1.869814525434776442e-07,-1.986415591090917587e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.418776344507932663e-03,6.448012508752465344e-02,1.001418776285106338e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.321508517152512663e-01,3.619474376937095728e-01
-2.105779799421725329e-07,-2.128293126588687301e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.484755077399313450e-03,6.597870606135777805e-02,1.001484754991167625e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.375413750406029090e-01,3.703701604291936289e-01
-2.354295247641857713e-07,-2.276768500450998545e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.552232308313250542e-03,6.747722105649034408e-02,1.001552232212224114e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.429313300117590668e-01,3.787932468830363386e-01
-2.625777710818510968e-07,-2.431991451885551214e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.621208037249743938e-03,6.897566857440749766e-02,1.001621207880798448e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.483207039820743423e-01,3.872167050925894860e-01
-2.930684388502413640e-07,-2.594112011138349771e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.691682031378149986e-03,7.047404711666180321e-02,1.001691681927915134e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.537094843038159575e-01,3.956405430922194655e-01
-3.260439882524224231e-07,-2.763280062936246395e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.763654407113790512e-03,7.197235518487488104e-02,1.001763654283100102e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.590976583281405787e-01,4.040647689132426668e-01
-3.616047479226836003e-07,-2.939645200967788696e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.837125048041343689e-03,7.347059128073876733e-02,1.001837124874380924e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.644852134050710846e-01,4.124893905838603048e-01
-4.008090286333754193e-07,-3.123357309959828854e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.912093837745487690e-03,7.496875390601749622e-02,1.001912093628287037e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.698721368834735568e-01,4.209144161290937491e-01
-4.428121656019357033e-07,-3.314566274639219046e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.988560659810900688e-03,7.646684156254857090e-02,1.001988560469849521e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.752584161110339656e-01,4.293398535707196317e-01
-4.886812803306384012e-07,-3.513421979732811451e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.066525630652904510e-03,7.796485275224444844e-02,1.002066525322601764e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.806440384342352434e-01,4.377657109272048430e-01
-5.375807745622296352e-07,-3.720074018929153681e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.145988401025533676e-03,7.946278597709405256e-02,1.002145988108578800e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.860289911983341371e-01,4.461919962136418061e-01
-5.905869215894199442e-07,-3.934672276955097914e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.226948970928788185e-03,8.096063973916432788e-02,1.002226948748317970e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.914132617473381703e-01,4.546187174416834731e-01
-6.478271643572952598e-07,-4.157366638537496328e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.309407340362668037e-03,8.245841254060159997e-02,1.002309407160858479e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.967968374239827178e-01,4.630458826194784883e-01
-7.094336638147069607e-07,-4.388306697364896536e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.393363509327173233e-03,8.395610288363321294e-02,1.002393363263742065e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.021797055697080236e-01,4.714734997516064063e-01
-7.755435831313661765e-07,-4.627642338164150715e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.478817244991660118e-03,8.545370927056891719e-02,1.002478816973012554e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.075618535246361640e-01,4.799015768390126890e-01
