px,py,pz,vx,vy,vz,phi,theta,psi
1.022516338768510336e+00,1.028261398885645495e+00,-9.725236861729046334e-01,7.408025780414064787e-01,1.186584173169542566e+00,1.099672537237982972e+00,7.370348631284808771e-01,5.840579083820491846e-01,1.111499569678407129e+00
1.023257141346551657e+00,1.029447983058815019e+00,-9.714240136356666611e-01,7.335742669372449232e-01,1.193933997271085179e+00,1.101385047011788076e+00,7.228838881404389127e-01,5.648729527362652547e-01,1.118348883659615600e+00
1.023990715613488867e+00,1.030641917056086099e+00,-9.703226285886549229e-01,7.265788510253654575e-01,1.201236173153001685e+00,1.102917655010977604e+00,7.081953016698639969e-01,5.456613031069088571e-01,1.125307921090630714e+00
1.024717294464514206e+00,1.031843153229239141e+00,-9.692197109336438965e-01,7.198065445463370793e-01,1.208491599303059605e+00,1.104255604557083492e+00,6.929524166826865894e-01,5.264868060314057407e-01,1.132342465470767001e+00
1.025437101009060603e+00,1.033051644828542281e+00,-9.681154553290868270e-01,7.132457436072836554e-01,1.215702647526529789e+00,1.105380857049611087e+00,6.771459388682353753e-01,5.074209089462259348e-01,1.139413007549399337e+00
1.026150346752667808e+00,1.034267347476068855e+00,-9.670100744720372399e-01,7.068835917252290768e-01,1.222872615725454137e+00,1.106272451554468850e+00,6.607759393069994047e-01,4.885419651158016130e-01,1.146475066136931398e+00
1.026857230344393024e+00,1.035490220091794367e+00,-9.659038020204827601e-01,7.007066732877113013e-01,1.230004955406167166e+00,1.106907242138234881e+00,6.438538301014743448e-01,4.699339699748673049e-01,1.153479879492335103e+00
1.027557937017680834e+00,1.036720225047200516e+00,-9.647968947783445159e-01,6.947017819367752312e-01,1.237102318814070401e+00,1.107261041523893041e+00,6.264041261236311664e-01,4.516846264139178224e-01,1.160375536048465550e+00
1.028252638799617591e+00,1.037957327366014537e+00,-9.636896337368205945e-01,6.888566772102572289e-01,1.244165529918936697e+00,1.107310124019102116e+00,6.084657053306831154e-01,4.338826989232260067e-01,1.167108574539621690e+00
1.028941495476827894e+00,1.039201492895933443e+00,-9.625823236128014937e-01,6.831607471432930012e-01,1.251192604703750488e+00,1.107032991903504904e+00,5.900922440326387131e-01,4.166147252455757455e-01,1.173626015422140512e+00
1.029624656223971257e+00,1.040452685500637298e+00,-9.614752906208979821e-01,6.776054770330860455e-01,1.258177992124209998e+00,1.106412202689158741e+00,5.713515365104578914e-01,3.999613016257580478e-01,1.179877692784476073e+00
1.030302261701004252e+00,1.041710863492761430e+00,-9.603688784182088378e-01,6.721846581464300252e-01,1.265112184146661045e+00,1.105436015087192025e+00,5.523235339467699179e-01,3.839933084942307451e-01,1.185818659320697410e+00
1.030974446359150587e+00,1.042975975676908140e+00,-9.592634424031216689e-01,6.668943088611529735e-01,1.271981795700065421e+00,1.104099598427027429e+00,5.330971496124542464e-01,3.687685460424861006e-01,1.191411369100177087e+00
1.031641340668011830e+00,1.044247957472608235e+00,-9.581593428046946137e-01,6.617323350343541355e-01,1.278770127679558666e+00,1.102405608097873912e+00,5.137661276036421532e-01,3.543292510324969613e-01,1.196627337055893081e+00
1.032303073003046245e+00,1.045526727600287753e+00,-9.570569371965967909e-01,6.566980057737555887e-01,1.285458127554203411e+00,1.100364043338349029e+00,4.944244819459672202e-01,3.407008446435615956e-01,1.201448046066442954e+00
