$x$,$y$,Goal region,QP relaxation,Safe region,Unsafe region,V
-1.7551020383834839,1.59183669090271,0.0,6.248490500771988e-18,0.0,1.0,3.0566246509552
-1.7551020383834839,1.6734693050384521,0.0,2.043285137865136e-16,0.0,1.0,3.118159055709839
-1.7551020383834839,1.7551020383834839,0.0,3.3447855396859526e-17,0.0,1.0,3.182554244995117
-1.7551020383834839,1.836734652519226,0.0,3.0803347811589227e-18,0.0,1.0,3.24965500831604
-1.7551020383834839,1.9183673858642578,0.0,1.2637456287326303e-15,0.0,1.0,3.319305419921875
-1.7551020383834839,2.0,0.0,5.505249347823146e-16,0.0,1.0,3.3913464546203613
-1.6734694242477417,-2.0,0.0,3.705928293787419e-17,0.0,1.0,3.9755032062530518
-1.6734694242477417,-1.9183673858642578,0.0,1.0315113630359176e-16,0.0,1.0,3.881408452987671
-1.6734694242477417,-1.836734652519226,0.0,2.553749808225736e-16,0.0,1.0,3.788705825805664
-1.6734694242477417,-1.7551020383834839,0.0,5.695339952450364e-16,0.0,1.0,3.697547197341919
-1.6734694242477417,-1.6734694242477417,0.0,1.1551436170377754e-15,0.0,1.0,3.608086347579956
-1.6734694242477417,-1.59183669090271,0.0,2.1432152791855605e-15,0.0,1.0,3.520482301712036
-1.6734694242477417,-1.5102040767669678,0.0,3.60355683145944e-15,0.0,1.0,3.434894561767578
-1.6734694242477417,-1.4285714626312256,0.0,5.947596108330311e-18,0.0,1.0,3.351486921310425
-1.6734694242477417,-1.3469388484954834,0.0,2.6505474099489774e-17,0.0,1.0,3.270423173904419
-1.6734694242477417,-1.2653062343597412,0.0,1.2424287211259958e-16,0.0,1.0,3.1918694972991943
-1.6734694242477417,-1.1836735010147095,0.0,4.3455103652882796e-16,0.0,1.0,3.115990161895752
-1.6734694242477417,-1.1020408868789673,0.0,2.5965823949402016e-18,0.0,1.0,3.042949914932251
-1.6734694242477417,-1.020408272743225,0.0,6.648373514399824e-17,0.0,1.0,2.972912311553955
-1.6734694242477417,-0.9387755990028381,0.0,1.0535931149241432e-16,0.0,1.0,2.906036853790283
-1.6734694242477417,-0.8571429252624512,0.0,4.194181047118602e-15,0.0,1.0,2.8424816131591797
