$x$,$y$,L,Parameters,R,Simulation,t
-0.7622252702713013,-0.6105616688728333,14.0,"R = 3.25, L = 14",3.25,2.0,0.42
0.7622252106666565,-0.6105616688728333,14.0,"R = 3.25, L = 14",3.25,3.0,0.42
0.7549870610237122,0.603766918182373,14.0,"R = 3.25, L = 14",3.25,0.0,0.43
-0.7549870014190674,0.603766918182373,14.0,"R = 3.25, L = 14",3.25,1.0,0.43
-0.7549870610237122,-0.603766918182373,14.0,"R = 3.25, L = 14",3.25,2.0,0.43
0.7549870014190674,-0.603766918182373,14.0,"R = 3.25, L = 14",3.25,3.0,0.43
0.747719943523407,0.5970031023025513,14.0,"R = 3.25, L = 14",3.25,0.0,0.44
-0.7477198839187622,0.5970031023025513,14.0,"R = 3.25, L = 14",3.25,1.0,0.44
-0.747719943523407,-0.5970031023025513,14.0,"R = 3.25, L = 14",3.25,2.0,0.44
0.7477198839187622,-0.5970031023025513,14.0,"R = 3.25, L = 14",3.25,3.0,0.44
0.7404240369796753,0.5902702808380127,14.0,"R = 3.25, L = 14",3.25,0.0,0.45
-0.7404239773750305,0.5902703404426575,14.0,"R = 3.25, L = 14",3.25,1.0,0.45
-0.7404240369796753,-0.5902703404426575,14.0,"R = 3.25, L = 14",3.25,2.0,0.45
0.7404239773750305,-0.5902703404426575,14.0,"R = 3.25, L = 14",3.25,3.0,0.45
0.7330995202064514,0.5835686326026917,14.0,"R = 3.25, L = 14",3.25,0.0,0.46
-0.7330994009971619,0.5835687518119812,14.0,"R = 3.25, L = 14",3.25,1.0,0.46
-0.7330995202064514,-0.5835686922073364,14.0,"R = 3.25, L = 14",3.25,2.0,0.46
0.7330994009971619,-0.5835687518119812,14.0,"R = 3.25, L = 14",3.25,3.0,0.46
0.7257464528083801,0.5768982768058777,14.0,"R = 3.25, L = 14",3.25,0.0,0.47000000000000003
-0.7257463335990906,0.576898455619812,14.0,"R = 3.25, L = 14",3.25,1.0,0.47000000000000003
-0.7257464528083801,-0.5768983364105225,14.0,"R = 3.25, L = 14",3.25,2.0,0.47000000000000003
0.7257463335990906,-0.576898455619812,14.0,"R = 3.25, L = 14",3.25,3.0,0.47000000000000003
0.7183650135993958,0.5702593326568604,14.0,"R = 3.25, L = 14",3.25,0.0,0.48
-0.7183648943901062,0.5702595710754395,14.0,"R = 3.25, L = 14",3.25,1.0,0.48
-0.7183650135993958,-0.5702594518661499,14.0,"R = 3.25, L = 14",3.25,2.0,0.48
0.7183648943901062,-0.5702595710754395,14.0,"R = 3.25, L = 14",3.25,3.0,0.48
0.7109553217887878,0.563651978969574,14.0,"R = 3.25, L = 14",3.25,0.0,0.49
-0.7109552025794983,0.5636522173881531,14.0,"R = 3.25, L = 14",3.25,1.0,0.49
-0.7109553217887878,-0.5636520981788635,14.0,"R = 3.25, L = 14",3.25,2.0,0.49
0.7109552025794983,-0.5636522173881531,14.0,"R = 3.25, L = 14",3.25,3.0,0.49
0.7035175561904907,0.5570762753486633,14.0,"R = 3.25, L = 14",3.25,0.0,0.5
-0.7035174369812012,0.5570765137672424,14.0,"R = 3.25, L = 14",3.25,1.0,0.5
-0.7035175561904907,-0.5570763945579529,14.0,"R = 3.25, L = 14",3.25,2.0,0.5
0.7035174369812012,-0.5570765137672424,14.0,"R = 3.25, L = 14",3.25,3.0,0.5
0.6967777013778687,0.5511686205863953,14.0,"R = 3.25, L = 14",3.25,0.0,0.51
-0.6967775821685791,0.5511688590049744,14.0,"R = 3.25, L = 14",3.25,1.0,0.51
-0.6967777013778687,-0.5511687397956848,14.0,"R = 3.25, L = 14",3.25,2.0,0.51
0.6967775821685791,-0.5511688590049744,14.0,"R = 3.25, L = 14",3.25,3.0,0.51
0.6900231242179871,0.5452777743339539,14.0,"R = 3.25, L = 14",3.25,0.0,0.52
-0.6900230050086975,0.545278012752533,14.0,"R = 3.25, L = 14",3.25,1.0,0.52
-0.6900231242179871,-0.5452778935432434,14.0,"R = 3.25, L = 14",3.25,2.0,0.52
0.6900230050086975,-0.545278012752533,14.0,"R = 3.25, L = 14",3.25,3.0,0.52
0.683253824710846,0.5394038558006287,14.0,"R = 3.25, L = 14",3.25,0.0,0.53
-0.6832537055015564,0.5394040942192078,14.0,"R = 3.25, L = 14",3.25,1.0,0.53
-0.683253824710846,-0.5394039750099182,14.0,"R = 3.25, L = 14",3.25,2.0,0.53
0.6832537055015564,-0.5394040942192078,14.0,"R = 3.25, L = 14",3.25,3.0,0.53
0.6764699220657349,0.5335468053817749,14.0,"R = 3.25, L = 14",3.25,0.0,0.54
-0.6764698028564453,0.5335471034049988,14.0,"R = 3.25, L = 14",3.25,1.0,0.54
-0.6764699220657349,-0.5335469841957092,14.0,"R = 3.25, L = 14",3.25,2.0,0.54
0.6764698028564453,-0.5335471034049988,14.0,"R = 3.25, L = 14",3.25,3.0,0.54
0.6696714162826538,0.5277067422866821,14.0,"R = 3.25, L = 14",3.25,0.0,0.55
-0.6696712374687195,0.527707040309906,14.0,"R = 3.25, L = 14",3.25,1.0,0.55
-0.669671356678009,-0.5277069211006165,14.0,"R = 3.25, L = 14",3.25,2.0,0.55
0.6696712374687195,-0.527707040309906,14.0,"R = 3.25, L = 14",3.25,3.0,0.55
