$x$,$y$,L,Parameters,R,Simulation,t
-2.1205413341522217,2.600126266479492,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.25
-2.1049938201904297,2.58754563331604,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.26
-2.089477300643921,2.5749266147613525,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.27
-2.0739922523498535,2.5622692108154297,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.28
-2.0585384368896484,2.5495734214782715,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.29
-2.0431160926818848,2.536839485168457,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.3
-2.0277254581451416,2.5240674018859863,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.31
-2.012361764907837,2.5112626552581787,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.32
-1.9970252513885498,2.4984254837036133,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.33
-1.9817160367965698,2.48555588722229,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.34
-1.966434121131897,2.472653865814209,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.35
-1.9511795043945312,2.45971941947937,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.36
-1.9359523057937622,2.4467527866363525,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.37
-1.9207526445388794,2.4337539672851562,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.3800000000000001
-1.9055805206298828,2.4207229614257812,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.3900000000000001
-1.890436053276062,2.4076597690582275,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.4000000000000001
-1.875319242477417,2.394564628601074,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.41
-1.8602310419082642,2.381436586380005,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.42
-1.8451714515686035,2.3682756423950195,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.43
-1.8301405906677246,2.3550820350646973,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.44
-1.8151384592056274,2.341855764389038,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.45
-1.8001651763916016,2.328596830368042,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.46
-1.7852208614349365,2.315305233001709,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.47
-1.7703055143356323,2.301981210708618,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.48
-1.7554192543029785,2.2886245250701904,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.49
-1.740562081336975,2.275235652923584,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.5
-1.7257341146469116,2.2618143558502197,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.51
-1.7109159231185913,2.248382091522217,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.52
-1.6961076259613037,2.2349390983581543,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.53
-1.6813091039657593,2.2214853763580322,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.54
-1.6665204763412476,2.2080206871032715,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.55
-1.651741623878479,2.194545269012451,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.56
-1.6369726657867432,2.1810591220855713,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.57
-1.6222134828567505,2.167562246322632,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.58
-1.6074641942977905,2.1540544033050537,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.59
-1.5927248001098633,2.140535831451416,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.6
-1.5796053409576416,2.1284854412078857,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.61
-1.5664787292480469,2.1164426803588867,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.62
-1.553344964981079,2.104407787322998,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.6300000000000001
-1.5402040481567383,2.0923807621002197,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.6400000000000001
-1.5270559787750244,2.0803613662719727,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.6500000000000001
-1.5139007568359375,2.068349838256836,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.6600000000000001
-1.500738501548767,2.0563461780548096,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.67
-1.4875690937042236,2.0443503856658936,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.68
-1.4743925333023071,2.032362222671509,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.69
-1.4612089395523071,2.0203819274902344,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.7
-1.4498982429504395,2.0101158618927,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.71
-1.4385687112808228,1.9998705387115479,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.72
-1.4272204637527466,1.9896459579467773,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.73
-1.415853500366211,1.9794422388076782,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.74
-1.4044678211212158,1.9692593812942505,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.75
-1.3930634260177612,1.9590973854064941,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.76
-1.3816404342651367,1.9489562511444092,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.77
